"LS"," 9:49   1 Aug 2017"
"File name:","PostBurnMin_PostBu_02.$ls"
"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.0015
2,0.044,0.0018
3,0.048,0.0025
4,0.053,0.0044
5,0.058,0.0094
6,0.064,0.019
7,0.070,0.033
8,0.077,0.045
9,0.084,0.056
10,0.093,0.068
11,0.102,0.080
12,0.112,0.091
13,0.122,0.10
14,0.134,0.11
15,0.148,0.12
16,0.162,0.13
17,0.178,0.14
18,0.195,0.15
19,0.214,0.15
20,0.235,0.16
21,0.258,0.17
22,0.284,0.17
23,0.311,0.17
24,0.342,0.18
25,0.375,0.18
26,0.412,0.18
27,0.452,0.17
28,0.496,0.17
29,0.545,0.16
30,0.598,0.16
31,0.656,0.15
32,0.721,0.13
33,0.791,0.12
34,0.868,0.11
35,0.953,0.096
36,1.047,0.083
37,1.149,0.071
38,1.261,0.062
39,1.385,0.057
40,1.520,0.055
41,1.668,0.059
42,1.832,0.070
43,2.011,0.089
44,2.207,0.12
45,2.423,0.15
46,2.660,0.19
47,2.920,0.23
48,3.205,0.27
49,3.519,0.31
50,3.863,0.34
51,4.240,0.36
52,4.655,0.37
53,5.110,0.37
54,5.610,0.36
55,6.158,0.35
56,6.760,0.34
57,7.421,0.34
58,8.147,0.35
59,8.943,0.38
60,9.817,0.42
61,10.78,0.46
62,11.83,0.51
63,12.99,0.55
64,14.26,0.58
65,15.65,0.61
66,17.18,0.63
67,18.86,0.65
68,20.70,0.65
69,22.73,0.65
70,24.95,0.63
71,27.39,0.62
72,30.07,0.60
73,33.01,0.61
74,36.24,0.63
75,39.78,0.66
76,43.67,0.68
77,47.94,0.67
78,52.62,0.64
79,57.77,0.58
80,63.41,0.52
81,69.61,0.48
82,76.42,0.47
83,83.89,0.49
84,92.09,0.52
85,101.1,0.57
86,111.0,0.62
87,121.8,0.68
88,133.7,0.75
89,146.8,0.85
90,161.2,0.98
91,176.9,1.14
92,194.2,1.33
93,213.2,1.53
94,234.1,1.76
95,256.9,2.00
96,282.1,2.27
97,309.6,2.55
98,339.9,2.83
99,373.1,3.11
100,409.6,3.38
101,449.7,3.63
102,493.6,3.84
103,541.9,4.03
104,594.9,4.18
105,653.0,4.31
106,716.8,4.35
107,786.9,4.24
108,863.9,3.92
109,948.3,3.38
110,1041,2.60
111,1143,1.87
112,1255,1.35
113,1377,1.25
114,1512,1.56
115,1660,2.11
116,1822,3.36
,2000,

